RISULTATI DELLE PARTITE DEL TUTTE;;;;;;;
ID Partita;Data e Ora;Fase;Squadra Casa;Punteggio Casa;Punteggio Ospite;Squadra Ospite;Stato
076bb526-00e1-428a-9ccf-cd8c4a7e5e17;FC Murta - Chainz;30';AMMONIZIONE;Chainz;Andrea Robbiano;
ff7d2ffe-5765-408b-a135-7814615f2d36;San Teodoro Ketzmaja - FC Ceres;1';CARTA;San Teodoro Ketzmaja;Davide Rossi;starplayer
ff7d2ffe-5765-408b-a135-7814615f2d36;San Teodoro Ketzmaja - FC Ceres;2';GOAL;San Teodoro Ketzmaja;Davide Rossi;
ff7d2ffe-5765-408b-a135-7814615f2d36;San Teodoro Ketzmaja - FC Ceres;3';GOAL;FC Ceres;Samuele Del Fiore;
ff7d2ffe-5765-408b-a135-7814615f2d36;San Teodoro Ketzmaja - FC Ceres;10';GOAL;FC Ceres;Stefano Dellepiane;
ff7d2ffe-5765-408b-a135-7814615f2d36;San Teodoro Ketzmaja - FC Ceres;18';AMMONIZIONE;San Teodoro Ketzmaja;Ibrahim Lagrari;
ff7d2ffe-5765-408b-a135-7814615f2d36;San Teodoro Ketzmaja - FC Ceres;19';GOAL;San Teodoro Ketzmaja;Andrea Balossino;
ff7d2ffe-5765-408b-a135-7814615f2d36;San Teodoro Ketzmaja - FC Ceres;20';GOAL;San Teodoro Ketzmaja;;
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;Aston Birra - Lo Dico FC;1';GOAL;Lo Dico FC;Christian Ravenna;
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;Aston Birra - Lo Dico FC;1';ASSIST;Lo Dico FC;Mohamed Niang;
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;Aston Birra - Lo Dico FC;16';GOAL;Lo Dico FC;Christian Ravenna;
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;Aston Birra - Lo Dico FC;18';GOAL;Aston Birra;Giacomo Patrone;
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;Aston Birra - Lo Dico FC;18';ASSIST;Aston Birra;Mirko Pili;
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;Aston Birra - Lo Dico FC;20';ASSIST;Aston Birra;Giacomo Patrone;
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;Aston Birra - Lo Dico FC;20';GOAL;Aston Birra;Mirko Pili;
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;Aston Birra - Lo Dico FC;23';GOAL;Lo Dico FC;Christian Ravenna;
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;Aston Birra - Lo Dico FC;29';CARTA;Aston Birra;Diego Traverso;penalty::fail
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;Aston Birra - Lo Dico FC;30';GOAL;Lo Dico FC;Mohamed Niang;
310a6c88-4769-4e00-a4b7-0e8030fbf3ea;Aston Birra - Lo Dico FC;30';GOAL;Lo Dico FC;Christian Ravenna;
